"","x"
"1",0.146877316668152
"2",0.180035342229395
"3",-0.0291943603887592
"4",3.47838875914068
"5",1.01380716562271
"6",1
"7",2
"8",3
"9",4
"10",5
"11",3
"12",6
"13",2
"14",6
"15",3
"16",7
"17",3
"18",8
"19",7
"20",3
"21",4
"22",4
"23",1
"24",2
"25",3
"26",6
"27",6
"28",7
"29",3
"30",5
"31",6
"32",6
"33",5
"34",2
"35",8
"36",1
"37",4
"38",1
"39",6
"40",7
"41",8
"42",4
"43",7
"44",2
"45",5
"46",1
"47",3
"48",3
"49",7
"50",3
"51",1
"52",3
"53",6
"54",4
"55",7
"56",1
"57",8
"58",4
"59",2
"60",3
"61",4
"62",8
"63",3
"64",2
"65",3
"66",1
"67",7
"68",1
"69",8
"70",3
"71",1
"72",7
"73",7
"74",4
"75",5
"76",1
"77",1
"78",7
"79",4
"80",3
"81",7
"82",3
"83",1
"84",3
"85",5
"86",1
"87",2
"88",1
"89",1
"90",4
"91",2
"92",3
"93",8
"94",2
"95",3
"96",7
"97",6
"98",3
"99",1
"100",4
"101",2
"102",2
"103",1
"104",5
"105",5
"106",1
"107",1
"108",7
"109",1
"110",3
"111",3
"112",1
"113",6
"114",4
"115",7
"116",5
"117",2
"118",8
"119",5
"120",2
"121",4
"122",3
"123",6
"124",4
"125",3
"126",1
"127",2
"128",1
"129",3
"130",4
"131",4
"132",3
"133",5
"134",1
"135",6
"136",4
"137",3
"138",3
"139",2
"140",8
"141",2
"142",2
"143",4
"144",1
"145",6
"146",5
"147",3
"148",4
"149",5
"150",5
"151",5
"152",3
"153",4
"154",4
"155",5
"156",2
"157",7
"158",2
"159",6
"160",3
"161",3
"162",3
"163",6
"164",2
"165",3
"166",3
"167",3
"168",1
"169",5
"170",6
"171",6
"172",5
"173",5
"174",3
"175",3
"176",2
"177",1
"178",7
"179",3
"180",3
"181",3
"182",3
"183",1
"184",2
"185",7
"186",8
"187",3
"188",8
"189",5
"190",4
"191",2
"192",3
"193",2
"194",1
"195",6
"196",3
"197",1
"198",3
"199",4
"200",7
"201",7
"202",6
"203",3
"204",5
"205",6
"206",1
"207",2
"208",2
"209",6
"210",2
"211",5
"212",5
"213",3
"214",5
"215",1
"216",1
"217",3
"218",3
"219",4
"220",2
"221",5
"222",3
"223",6
"224",1
"225",4
"226",7
"227",1
"228",5
"229",5
"230",4
"231",1
"232",1
"233",3
"234",1
"235",5
"236",1
"237",5
"238",3
"239",5
"240",1
"241",1
"242",4
"243",5
"244",2
"245",8
"246",3
"247",3
"248",5
"249",6
"250",4
"251",6
"252",7
"253",8
"254",5
"255",5
